Sonnet,Line,Word
('103', 'l11', 'remedy')
('104', 'l10', 'perpetual')
('104', 'l11', 'remedy')
('105', 'l10', 'perpetual')
('105', 'l11', 'remedy')
('106', 'l10', 'perpetual')
('106', 'l11', 'remedy')
('107', 'l10', 'perpetual')
('107', 'l11', 'remedy')
('108', 'l10', 'perpetual')
('108', 'l11', 'remedy')
('109', 'l10', 'perpetual')
('109', 'l11', 'remedy')
('110', 'l10', 'perpetual')
('110', 'l11', 'remedy')
('111', 'l10', 'perpetual')
('111', 'l11', 'remedy')
('112', 'l10', 'perpetual')
('112', 'l11', 'remedy')
('113', 'l10', 'perpetual')
('113', 'l11', 'remedy')
('114', 'l10', 'perpetual')
('114', 'l11', 'remedy')
('115', 'l10', 'perpetual')
('115', 'l11', 'remedy')
('116', 'l10', 'perpetual')
('116', 'l11', 'remedy')
('117', 'l10', 'perpetual')
('117', 'l11', 'remedy')
('118', 'l10', 'perpetual')
('118', 'l11', 'remedy')
('119', 'l10', 'perpetual')
('119', 'l11', 'remedy')
('120', 'l10', 'perpetual')
('120', 'l11', 'remedy')
('121', 'l10', 'perpetual')
('121', 'l11', 'remedy')
('122', 'l10', 'perpetual')
('122', 'l11', 'remedy')
('123', 'l10', 'perpetual')
('123', 'l11', 'remedy')
('124', 'l10', 'perpetual')
('124', 'l11', 'remedy')
('125', 'l10', 'perpetual')
('125', 'l11', 'remedy')
('126', 'l10', 'perpetual')
('126', 'l11', 'remedy')
('127', 'l10', 'perpetual')
('127', 'l11', 'remedy')
('128', 'l10', 'perpetual')
('128', 'l11', 'remedy')
('129', 'l10', 'perpetual')
('129', 'l11', 'remedy')
('130', 'l10', 'perpetual')
('130', 'l11', 'remedy')
('131', 'l10', 'perpetual')
('131', 'l11', 'remedy')
('132', 'l10', 'perpetual')
('132', 'l11', 'remedy')
('133', 'l10', 'perpetual')
('133', 'l11', 'remedy')
('134', 'l10', 'perpetual')
('134', 'l11', 'remedy')
('135', 'l10', 'perpetual')
('135', 'l11', 'remedy')
('136', 'l10', 'perpetual')
('136', 'l11', 'remedy')
('137', 'l10', 'perpetual')
('137', 'l11', 'remedy')
('138', 'l10', 'perpetual')
('138', 'l11', 'remedy')
('139', 'l10', 'perpetual')
('139', 'l11', 'remedy')
('140', 'l10', 'perpetual')
('140', 'l11', 'remedy')
('141', 'l10', 'perpetual')
('141', 'l11', 'remedy')
('142', 'l10', 'perpetual')
('142', 'l11', 'remedy')
('143', 'l10', 'perpetual')
('143', 'l11', 'remedy')
('144', 'l10', 'perpetual')
('144', 'l11', 'remedy')
('145', 'l10', 'perpetual')
('145', 'l11', 'remedy')
('146', 'l10', 'perpetual')
('146', 'l11', 'remedy')
('147', 'l10', 'perpetual')
('147', 'l11', 'remedy')
('148', 'l10', 'perpetual')
('148', 'l11', 'remedy')
('149', 'l10', 'perpetual')
('149', 'l11', 'remedy')
('150', 'l10', 'perpetual')
('150', 'l11', 'remedy')
('151', 'l10', 'perpetual')
('151', 'l11', 'remedy')
('152', 'l10', 'perpetual')
('152', 'l11', 'remedy')
('153', 'l10', 'perpetual')
('153', 'l11', 'remedy')
('154', 'l10', 'perpetual')
('154', 'l11', 'remedy')
